SONG_NAME,ARTIST_NAME,SONG_LEVEL,USERS_NUMBER,RANK
You're The One,Dwight Yoakam,paid,37,1
You're The One,Dwight Yoakam,free,37,1
Undo,BjÃÂ¶rk,paid,28,2
Undo,BjÃÂ¶rk,free,28,2
Revelry,Kings Of Leon,paid,27,3
Revelry,Kings Of Leon,free,27,3
Sehr kosmisch,Harmonia,paid,21,4
Sehr kosmisch,Harmonia,free,21,4
Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile),Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner,paid,19,5
Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile),Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner,free,19,5
Canada,Five Iron Frenzy,paid,17,6
Canada,Five Iron Frenzy,free,17,6
Secrets,OneRepublic,paid,17,6
Secrets,OneRepublic,free,17,6
Dog Days Are Over (Radio Edit),Florence + The Machine,paid,16,7
Dog Days Are Over (Radio Edit),Florence + The Machine,free,16,7
Fireflies,Charttraxx Karaoke,paid,14,8
Fireflies,Charttraxx Karaoke,free,14,8
Fireflies,The Coral,paid,14,8
Invalid,Tub Ring,paid,14,8
Invalid,Tub Ring,free,14,8
ReprÃÂ©sente,Alliance Ethnik,paid,14,8
ReprÃÂ©sente,Alliance Ethnik,free,14,8
Home,Edward Sharpe & The Magnetic Zeros,paid,13,9
Home,Daughtry,paid,13,9
Home,Jami Smith,free,13,9
Somebody To Love,Justin Bieber,paid,13,9
Somebody To Love,Justin Bieber,free,13,9
Hey_ Soul Sister,Train,free,12,10
Hey_ Soul Sister,Train,paid,12,10
Yellow,Coldplay,paid,12,10
Yellow,Coldplay,free,12,10
SinceritÃÂ© Et Jalousie,Alliance Ethnik,paid,11,11
SinceritÃÂ© Et Jalousie,Alliance Ethnik,free,11,11
Gears,Future Rock,paid,10,12
OMG,Usher featuring will.i.am,paid,10,12
OMG,Usher featuring will.i.am,free,10,12
Pursuit Of Happiness (nightmare),Kid Cudi / MGMT / Ratatat,free,10,12
Pursuit Of Happiness (nightmare),Kid Cudi / MGMT / Ratatat,paid,10,12
The Gift,Angels and Airwaves,paid,10,12
The Gift,Angels and Airwaves,free,10,12
Catch You Baby (Steve Pitron & Max Sanna Radio Edit),Lonnie Gordon,paid,9,13
Catch You Baby (Steve Pitron & Max Sanna Radio Edit),Lonnie Gordon,free,9,13
I CAN'T GET STARTED,Ron Carter,paid,9,13
I CAN'T GET STARTED,Ron Carter,free,9,13
Love Story,Taylor Swift,free,9,13
Love Story,Taylor Swift,paid,9,13
The Only Exception (Album Version),Paramore,paid,9,13
The Only Exception (Album Version),Paramore,free,9,13
Bubble Toes,Jack Johnson,paid,8,14
Bubble Toes,Jack Johnson,free,8,14
Fuck Kitty,Frumpies,free,8,14
Fuck Kitty,Frumpies,paid,8,14
Halo,BeyoncÃÂ©,paid,8,14
Halo,BeyoncÃÂ©,free,8,14
I Kissed A Girl,Katy Perry,paid,8,14
I Kissed A Girl,Katy Perry,free,8,14
Mercy:The Laundromat,Pavement,free,8,14
Mercy:The Laundromat,Pavement,paid,8,14
Nothin' On You [feat. Bruno Mars] (Album Version),B.o.B,paid,8,14
Supermassive Black Hole (Twilight Soundtrack Version),Muse,paid,8,14
Ain't Misbehavin,Sam Cooke,paid,7,15
Ain't Misbehavin,Sam Cooke,free,7,15
Bring Me To Life,Evanescence,free,7,15
Bring Me To Life,Evanescence,paid,7,15
Float On,Modest Mouse,free,7,15
Float On,Modest Mouse,paid,7,15
Make Love To Your Mind,Bill Withers,free,7,15
Make Love To Your Mind,Bill Withers,paid,7,15
Master Of Puppets,Metallica,paid,7,15
Master Of Puppets,Metallica,free,7,15
Sinisten tÃÂ¤htien alla,J. Karjalainen & Mustat Lasit,paid,7,15
Sinisten tÃÂ¤htien alla,J. Karjalainen & Mustat Lasit,free,7,15
Stronger,Kanye West,paid,7,15
Stronger,Kanye West,free,7,15
Tive Sim,Cartola,paid,7,15
