SESSION_ID,SONG_NAME,USERS_NUMBER,ARTIST_NAME,SONG_LEVEL,SONG_RANK
3,Read My Mind,1,The Killers,free,1
5,Absolution: Of Flight and Failure,1,A Hope For Home,free,1
5,Just Might (Make Me Believe),1,Sugarland,free,1
6,Dirthouse (Album Version),1,Static-X,free,1
8,Cuando,1,Juan Carlos Baglietto,free,1
8,Era En Abril,1,Juan Carlos Baglietto,free,1
8,Master Of Puppets,1,Metallica,free,1
8,SÃÂ¥n't ÃÂr Livet (You Can Have Her) (2002 Digital Remaster),1,Anne-Lie RydÃÂ©,free,1
8,There Is A Light That Never Goes Out,1,The Smiths,free,1
9,Pump It,1,Black Eyed Peas,free,1
10,Rehab,1,Rihanna,free,1
15,All Summer Long (Album Version),1,Kid Rock,free,1
15,Can't Help But Wait (Album Version),1,Trey Songz,free,1
15,Ghost Of A Good Thing,1,Dashboard Confessional,free,1
15,Tennessee Waltz (Live),1,Billy J Kramer & The Dakotas,free,1
15,When You Were Young,1,The Killers,free,1
17,Geh Deinen Weg,1,Michael B.,free,1
17,Genom tunna tyger,1,Markus KrunegÃÂ¥rd,free,1
19,Don't Be Shy,1,Cat Stevens,paid,1
19,Iko Iko,1,The Dixie Cups,paid,1
19,Into The White,1,Pixies,paid,1
19,Lights Out,1,Antimatter,paid,1
19,Love Story,1,Taylor Swift,paid,1
19,Meditation,1,Carlos Santana & Mahavishnu John McLaughlin,paid,1
19,ObservÃÂ¡ndonos (SatÃÂ©lites),1,Soda Stereo,paid,1
19,Opium Of The People (Album Version),1,Slipknot,paid,1
19,Run (LP Version),1,Collective Soul,paid,1
21,Revelry,1,Kings Of Leon,free,1
21,The Ugly One (AKA Lee Van Cleef),1,King Stitt,free,1
23,3AM (LP Version),1,matchbox twenty,paid,1
23,All Of The Champs That Ever Lived,1,Octopus Project,paid,1
23,Boadicea,1,Enya,paid,1
23,Bring Me To Life,1,Evanescence,paid,1
23,Do That There (featuring Dude 'N Nem),1,Yung Berg,paid,1
23,Dragula,1,Rob Zombie,paid,1
23,Drop The World,1,Lil Wayne / Eminem,paid,1
23,Fairy Tale,1,Klaus Doldinger's Passport,paid,1
23,Fearless,1,Bryan Adams,paid,1
23,Girl,1,Beck,paid,1
23,Good Enough,1,Van Halen,paid,1
23,I Can Talk,1,Two Door Cinema Club,paid,1
23,I Miss You,1,Incubus,paid,1
23,I Want Your Sex,1,George Michael,paid,1
23,Keep On Growing,1,Derek & The Dominos,paid,1
23,Let Me Get Em,1,Soulja Boy Tell'em,paid,1
23,Liebeslied (Sprachen: Deutsch_ Englisch_ FranzÃÂ¶sisch_ Italienisch_ Spanisch_ HollÃÂ¤ndisch_ Japanisch_ Russisch_ Griechisch_ Klingonisch_ Hessisch),1,Bodo Wartke,paid,1
23,Loucura,1,Mariza,paid,1
23,Lowridin,1,The Far East Movement featuring Wiz Khalifa and Bionik,paid,1
23,Morning Sun,1,Bad Company,paid,1
23,Okay Dolores,1,Dragonette,paid,1
23,Organum,1,Max Richter,paid,1
23,Paper Chase (Album Version),1,The Academy Is...,paid,1
23,Secrets,1,OneRepublic,paid,1
23,So Jealous,1,Tegan And Sara,paid,1
23,The Calculation (Album Version),1,Regina Spektor,paid,1
23,The Good Times Are Killing Me,1,Modest Mouse,paid,1
23,The Hero,1,Amon Amarth,paid,1
23,The Kids Dont Stand A Chance (Album),1,Vampire Weekend,paid,1
23,Undo,1,BjÃÂ¶rk,paid,1
23,Yeah Yeah,1,Bodyrox,paid,1
23,Yo Te Seguire (vivo),1,Alberto Plaza,paid,1
23,You're The One,1,Dwight Yoakam,paid,1
28,Let Me Out,1,Maximilian Hecker,free,1
31,Guess Who,1,Eddie Floyd,free,1
33,Here (In Your Arms) (Radio Edit),1,Hellogoodbye;Elliott Yamin,free,1
33,Narc,1,Interpol,free,1
33,Stronger,1,Kanye West,free,1
33,The Real Slim Shady,1,Eminem,free,1
42,Cabaret Blanco,1,Olivia Ruiz,free,1
42,En Mi Mundo,1,Gary Hobbs,free,1
42,We'll Never Know,1,Lifehouse,free,1
47,Uneasy Hearts Weigh The Most,1,Dance Gavin Dance,free,1
52,Dizzy,1,Jimmy Eat World,free,1
52,Playa Haters,1,Mynt,free,1
52,Valerie,1,Amy Winehouse,free,1
52,You Belong With Me,1,Taylor Swift,free,1
53,Uhn Tiss Uhn Tiss Uhn Tiss,1,Bloodhound Gang,free,1
56,Fake Tales Of San Francisco,1,Arctic Monkeys,free,1
56,Fim De Caso,1,Nana Caymmi,free,1
56,I've Got A Lot Of Things To Do,1,Johnny Burnette,free,1
56,The Memory Remains,1,Metallica / Marianne Faithfull,free,1
58,Crying Shame,1,Jack Johnson,free,1
58,Higinia (Album Version),1,blessthefall,free,1
59,Sometimes,1,No Doubt,free,1
60,Love Like Crazy (Extended Mix),1,Kierra Sheard,free,1
60,Sweet Hitch-Hiker,1,Creedence Clearwater Revival,free,1
64,A La villa,1,No Te Va Gustar,paid,1
64,Autobiography Of A Nation (Album Version),1,Thursday,paid,1
64,Canada,1,Five Iron Frenzy,paid,1
64,Dog Sh*t,1,Wu-Tang Clan,paid,1
64,Face Down (Album Version),1,The Red Jumpsuit Apparatus,paid,1
64,Fancy Funeral,1,Lucinda Williams,paid,1
64,Happy,1,Sister Hazel,paid,1
64,Heartbreak Warfare,1,John Mayer,paid,1
64,Hello,1,BeyoncÃÂ©,paid,1
64,I Miss You,1,Miley Cyrus,paid,1
64,Man Makes The Zoo,1,USS (Ubiquitous Synergy Seeker),paid,1
64,Mercy:The Laundromat,1,Pavement,paid,1
64,No Words,1,Make Do And Mend,paid,1
64,School's Out,1,Alice Cooper,paid,1
64,Slow Jamz (Feat. Kanye West & Jamie Foxx) (Edited Album Version),1,Twista feat. Kayne West & Jamie Foxx,paid,1
64,Stupid Girl,1,Cold,paid,1
64,Tangerine,1,First Aid Kit,paid,1
66,Love Story,1,Taylor Swift,free,1
70,Ova Da Wudz,1,OutKast,free,1
70,Pop Is Dead,1,Radiohead,free,1
70,SinceritÃÂ© Et Jalousie,1,Alliance Ethnik,free,1
70,The Mountains Of Navaho,1,Scouting for Girls,free,1
72,Again & Again,1,the bird and the bee,paid,1
72,Back To Life (Album Version),1,Rock Kills Kid,paid,1
72,Be (Intro),1,Common,paid,1
72,Blind (Frankie Knuckles Remix),1,Hercules And Love Affair,paid,1
72,Buzos (En La Luna),1,El Hombre Burbuja,paid,1
72,Can You Tell,1,Ra Ra Riot,paid,1
72,Coast 2 Coast,1,Alvin And The Chipmunks,paid,1
72,Danger Bird (Album Version),1,Neil Young,paid,1
72,Do You Remember,1,Moose,paid,1
72,Don't Close The Door,1,Gerry Rafferty,paid,1
72,Dynamite!,1,The Roots,paid,1
72,Jane Became Insane,1,Beatsteaks,paid,1
72,Juguete De Nadie,1,Puerto Rican Power,paid,1
72,Kitty Kat,1,BeyoncÃÂ©,paid,1
72,Knockin' On Heaven's Door,1,Wyclef Jean,paid,1
72,La Cachila,1,Leopoldo Federico,paid,1
72,Learn To Fly,1,Foo Fighters,paid,1
72,Me Quedo Contigo [Si Me Das A Elegir],1,Manu Chao,paid,1
72,Naw Meen,1,Baby Boy Da Prince / Mannie Fresh,paid,1
72,Nothin' On You [feat. Bruno Mars] (Album Version),1,B.o.B,paid,1
72,Pacific Coast Highway,1,Burt Bacharach,paid,1
72,Sing,1,Blur,paid,1
72,Sleepin' On My Couch,1,Del Tha Funkee Homosapien,paid,1
72,There For You,1,Flyleaf,paid,1
72,Who Cares Wins,1,Anthrax,paid,1
72,You Already Know What You Are,1,A Day To Remember,paid,1
75,Illuminati,1,Fatboy Slim,free,1
78,Provider (Remix Radio Edit),1,N.E.R.D.,free,1
82,A Lack Of Color (Album Version),1,Death Cab for Cutie,free,1
82,I Have A Wish,1,Tracy Gang Pussy,free,1
83,It Won't Be Like This For Long,1,Darius Rucker,free,1
83,Killing Lies,1,The Strokes,free,1
83,Temptation Waits,1,Garbage,free,1
83,Tuesday Afternoon,1,The Moody Blues,free,1
83,"White & Nerdy (Parody of ""Ridin'"" by Chamillionaire featuring Krayzie Bone)",1,Weird AI Yankovic,free,1
86,Welcome To The Black Parade (Album Version),1,My Chemical Romance,free,1
87,The Western World,1,Pennywise,free,1
88,Wild World,1,Cat Stevens,free,1
90,It's My Life,1,Bon Jovi,free,1
90,Midnight Special,1,Creedence Clearwater Revival,free,1
90,The Joker,1,Steve Miller Band,free,1
91,Indestructible,1,Ray Barretto,free,1
91,OMG,1,Usher featuring will.i.am,free,1
100,Eye Of The Tiger,1,Survivor,free,1
107,Frisch und g'sund,1,Die Mooskirchner,free,1
107,Look At Me,1,Carrie Underwood,free,1
107,Love Shack,1,The B-52's,free,1
108,East Side Mags,1,Bouncing Souls,free,1
108,The Scientist,1,Coldplay,free,1
112,Adios,1,Rammstein,free,1
112,Pop Corn,1,Gershon Kingsley,free,1
112,Strasbourg,1,The Rakes,free,1
113,Caught Up In You,2,38 Special,paid,1
113,Abracadabra,1,Steve Miller Band,paid,2
113,Billionaire [feat. Bruno Mars]  (Explicit Album Version),1,Travie McCoy,paid,2
113,Bubble Toes,1,Jack Johnson,paid,2
113,DARE,1,Gorillaz,paid,2
113,Faithful,1,Pearl Jam,paid,2
113,FÃÂ¡tima,1,Capital Inicial,paid,2
113,I duri hanno due cuori,1,Ligabue,paid,2
113,If It Means A Lot To You,1,A Day To Remember,paid,2
113,Just More (Album Version),1,Wonderwall,paid,2
113,My Resurrection (Album Version),1,Ill Nino,paid,2
113,Next 2 You (Album Version),1,Buckcherry,paid,2
113,Revolution 909 (Roger Sanchez Remix),1,Daft Punk,paid,2
113,Secrets,1,OneRepublic,paid,2
113,Slave,1,Pepper,paid,2
113,Take 2 Blue,1,Bitter:Sweet,paid,2
113,You And I Both (LP Version),1,Jason Mraz,paid,2
117,As You Are Leaving The Building,1,Carter USM,paid,1
117,Blindsided,1,Bon Iver,paid,1
117,Careless Whisper,1,Tamia,paid,1
117,Clarity,1,Jimmy Eat World,paid,1
