ARTIST_NAME,SONG_NAME,SONGS_NUMBER,RANK
Coldplay,Shiver,58,1
Coldplay,Don't Panic,58,1
Coldplay,Postcards From Far Away,58,1
Coldplay,Clocks,58,1
Coldplay,A Message,58,1
Coldplay,In My Place,58,1
Coldplay,Speed Of Sound,58,1
Coldplay,God Put A Smile Upon Your Face,58,1
Coldplay,Fix You,58,1
Coldplay,Yellow,58,1
Coldplay,Only Superstition,58,1
Coldplay,Trouble,58,1
Coldplay,Fix You (Live),58,1
Coldplay,42,58,1
Coldplay,What If,58,1
Coldplay,Cemeteries Of London,58,1
Coldplay,Til Kingdom Come,58,1
Coldplay,The Scientist,58,1
Coldplay,Life In Technicolor ii,58,1
Coldplay,A Rush Of Blood To The Head,58,1
Coldplay,Brothers & Sisters,58,1
Coldplay,Politik,58,1
Coldplay,One I Love,58,1
Coldplay,Daylight,58,1
Kings Of Leon,Happy Alone,55,2
Kings Of Leon,Revelry,55,2
Kings Of Leon,Holy Roller Novocaine,55,2
Kings Of Leon,Trani,55,2
Kings Of Leon,Use Somebody,55,2
Kings Of Leon,The Runner,55,2
Kings Of Leon,Trunk,55,2
Kings Of Leon,Cold Desert,55,2
Kings Of Leon,Be Somebody,55,2
Kings Of Leon,McFearless,55,2
Kings Of Leon,Manhattan,55,2
Kings Of Leon,Molly's Chambers,55,2
Kings Of Leon,Taper Jean Girl,55,2
Kings Of Leon,Pistol Of Fire,55,2
Kings Of Leon,Camaro,55,2
Kings Of Leon,Dusty,55,2
Kings Of Leon,Closer,55,2
Kings Of Leon,Fans,55,2
Kings Of Leon,Joe's Head,55,2
Dwight Yoakam,You're The One,38,3
Dwight Yoakam,Listen (LP Version),38,3
The Black Keys,Sinister Kid,36,4
The Black Keys,Unknown Brother,36,4
The Black Keys,Busted,36,4
The Black Keys,Heavy Soul ,36,4
The Black Keys,I'll Be Your Man,36,4
The Black Keys,Howlin For You,36,4
The Black Keys,Girl Is On My Mind,36,4
The Black Keys,Every Lasting Light,36,4
The Black Keys,Strange Times,36,4
The Black Keys,Tighten Up,36,4
The Black Keys,Act Nice and Gentle,36,4
The Black Keys,Your Touch,36,4
The Black Keys,The Only One,36,4
The Black Keys,Lies,36,4
The Black Keys,All Hands Against His Own,36,4
The Black Keys,The Desperate Man,36,4
The Black Keys,240 Years Before Your Time,36,4
The Black Keys,Same Old Thing,36,4
The Black Keys,The Lengths,36,4
The Black Keys,Everywhere I Go,36,4
The Black Keys,Elevator,36,4
The Black Keys,Ten Cent Pistol,36,4
The Black Keys,When The Lights Go Out,36,4
Florence + The Machine,I'm Not Calling You A Liar,35,5
Florence + The Machine,My Boy Builds Coffins,35,5
Florence + The Machine,Dog Days Are Over (Radio Edit),35,5
Florence + The Machine,Cosmic Love,35,5
Florence + The Machine,Bird Song Intro,35,5
Florence + The Machine,You've Got The Love,35,5
Florence + The Machine,Rabbit Heart (Raise It Up),35,5
Florence + The Machine,Hardest Of Hearts,35,5
Florence + The Machine,Kiss With A Fist,35,5
Jack Johnson,The News,35,5
Jack Johnson,Monsoon,35,5
Jack Johnson,Taylor,35,5
Jack Johnson,Constellations,35,5
Jack Johnson,Bubble Toes,35,5
Jack Johnson,The Horizon Has Been Defeated,35,5
Jack Johnson,Inaudible Melodies,35,5
Jack Johnson,Fortunate Fool,35,5
Jack Johnson,Wrong Turn,35,5
Jack Johnson,Breakdown,35,5
Jack Johnson,Sleep Through The Static,35,5
Jack Johnson,Do You Remember,35,5
Jack Johnson,Better Together,35,5
Jack Johnson,Cupid,35,5
Jack Johnson,Angel,35,5
Jack Johnson,Crying Shame,35,5
Jack Johnson,Never Know,35,5
Jack Johnson,They Do_ They Don't,35,5
Jack Johnson,Staple It Together,35,5
Jack Johnson,Times Like These,35,5
Jack Johnson,Holes To Heaven,35,5
Muse,Can't Take My Eyes Off You,35,5
Muse,Darkshines [Live From Le Zenith],35,5
Muse,New Born,35,5
Muse,Supermassive Black Hole (Twilight Soundtrack Version),35,5
Muse,Yes Please,35,5
Muse,Sunburn [Live],35,5
Muse,Supermassive Black Hole (Album Version),35,5
Muse,Uprising,35,5
Muse,The Small Print,35,5
Muse,Citizen Erased,35,5
Muse,Resistance,35,5
Muse,Minimum,35,5
Muse,Feeling Good,35,5
Muse,Endlessly,35,5
Muse,Map Of The Problematique,35,5
Muse,Muscle Museum (Soulwax Remix),35,5
Muse,Supermassive Black Hole [Phones Control Voltage Remix],35,5
Muse,Pink Ego Box,35,5
Muse,Do We Need This?,35,5
BjÃÂ¶rk,Undo,33,6
BjÃÂ¶rk,Cover Me,33,6
BjÃÂ¶rk,Human Behaviour,33,6
BjÃÂ¶rk,Come To Me,33,6
John Mayer,Slow Dancing In A Burning Room,31,7
John Mayer,Back To You,31,7
John Mayer,Heartbreak Warfare,31,7
John Mayer,The Heart Of Life,31,7
John Mayer,Crossroads,31,7
John Mayer,Half Of My Heart,31,7
John Mayer,War Of My Life,31,7
John Mayer,Come Back To Bed,31,7
John Mayer,Why Georgia,31,7
John Mayer,Clarity,31,7
John Mayer,Good Love Is On The Way,31,7
John Mayer,I'm Gonna Find Another You,31,7
John Mayer,St. Patrick's Day,31,7
John Mayer,Free Fallin',31,7
John Mayer,Waiting On The World To Change,31,7
John Mayer,Friends_ Lovers Or Nothing,31,7
John Mayer,Bold As Love,31,7
John Mayer,All We Ever Do Is Say Goodbye,31,7
John Mayer,Love Song For No One,31,7
John Mayer,Wait Until Tomorrow,31,7
The Killers,Spaceman,31,7
The Killers,When You Were Young,31,7
The Killers,Daddy's Eyes,31,7
The Killers,Read My Mind,31,7
The Killers,All The Pretty Faces,31,7
The Killers,Human,31,7
The Killers,On Top,31,7
The Killers,This Is Your Life,31,7
The Killers,Why Don't You Find Out For Yourself,31,7
The Killers,A Dustland Fairytale,31,7
The Killers,Who Let You Go?,31,7
The Killers,Everything Will Be Alright,31,7
The Killers,Sam's Town,31,7
The Killers,I Can't Stay,31,7
The Killers,Move Away,31,7
The Killers,The Ballad of Michael Valentine,31,7
